Date,"non-OPEC Production change (million barrels per day change, year on year)",WTI Real Price (GDP Deflated),Price 1 Quarter Shift,Price 2 Quarter Shift,Price 3 Quarter Shift,Price 4 Quarter Shift
2014-10-01,2.77,67.63,44.79,53.15,42.66,38.43
2015-01-01,2.42,44.79,53.15,42.66,38.43,30.58
2015-04-01,1.58,53.15,42.66,38.43,30.58,41.41
2015-07-01,1.4,42.66,38.43,30.58,41.41,40.73
2015-10-01,0.43,38.43,30.58,41.41,40.73,44.42
2016-01-01,-0.08,30.58,41.41,40.73,44.42,46.4
2016-04-01,-0.92,41.41,40.73,44.42,46.4,43.09
2016-07-01,-1.13,40.73,44.42,46.4,43.09,42.9
2016-10-01,-0.54,44.42,46.4,43.09,42.9,48.91
2017-01-01,-0.03,46.4,43.09,42.9,48.91,55.34
2017-04-01,0.9,43.09,42.9,48.91,55.34,59.42
2017-07-01,1.01,42.9,48.91,55.34,59.42,60.57
2017-10-01,0.98,48.91,55.34,59.42,60.57,51.54
2018-01-01,1.76,55.34,59.42,60.57,51.54,47.28
2018-04-01,2.56,59.42,60.57,51.54,47.28,51.35
2018-07-01,3.48,60.57,51.54,47.28,51.35,48.16
2018-10-01,3.51,51.54,47.28,51.35,48.16,48.41
2019-01-01,2.36,47.28,51.35,48.16,48.41,38.45
2019-04-01,2.07,51.35,48.16,48.41,38.45,23.8
2019-07-01,1.51,48.16,48.41,38.45,23.8,34.5
2019-10-01,1.81,48.41,38.45,23.8,34.5,35.66
2020-01-01,2.42,38.45,23.8,34.5,35.66,48.23
2020-04-01,-3.91,23.8,34.5,35.66,48.23,54.15
2020-07-01,-3.91,34.5,35.66,48.23,54.15,56.93
2020-10-01,-4.64,35.66,48.23,54.15,56.93,61.24
2021-01-01,-4.65,48.23,54.15,56.93,61.24,74.6
2021-04-01,2.54,54.15,56.93,61.24,74.6,79
2021-07-01,2.31,56.93,61.24,74.6,79,76.02
2021-10-01,2.83,61.24,74.6,79,76.02,73.24
2022-01-01,3.01,74.6,79,76.02,73.24,70.74
2022-04-01,1.68,79,76.02,73.24,70.74,67.77
2022-07-01,2.02,76.02,73.24,70.74,67.77,65.1
2022-10-01,1.37,73.24,70.74,67.77,65.1,62.46
2023-01-01,1.4,70.74,67.77,65.1,62.46,
2023-04-01,1.99,67.77,65.1,62.46,,
2023-07-01,1.38,65.1,62.46,,,
2023-10-01,1.06,62.46,,,,
